,length,defect,time
0,58,0.018796160690308636,0.3353691101074219
1,58,0.015524807012931298,0.17081427574157715
2,60,0.015695688334535076,0.6845240592956543
3,62,0.019391140462201802,0.36647558212280273
4,65,0.01432522347125157,1.1981544494628906
5,72,0.016984656726084322,0.48880815505981445
6,72,0.01732558262992529,0.7574591636657715
7,72,0.015159288397800348,0.19947218894958496
8,72,0.01824688756238873,0.7748091220855713
9,72,0.009153106016335406,3.164008378982544
10,72,0.015210271436308691,1.909271478652954
11,72,0.018823565401074785,0.6585068702697754
12,73,0.019776797734452956,0.8518030643463135
13,73,0.016668420596300183,0.6294898986816406
14,74,0.007385421215911907,0.8361597061157227
15,75,0.017531617764918295,0.245591402053833
16,75,0.019795566864141197,0.4989328384399414
17,75,0.01383165759669,0.31279826164245605
18,75,0.016953584729471876,0.2393035888671875
19,75,0.013167320865886397,0.2659468650817871
20,75,0.0194899751124161,0.27984142303466797
21,75,0.019367533012500247,1.8513059616088867
22,76,0.012571313199730991,0.6873350143432617
23,76,0.011744999485694138,1.5853850841522217
24,76,0.0125803083087872,0.32474207878112793
25,76,0.006398964501252109,1.0092864036560059
26,76,0.01738745688519784,1.031806230545044
27,76,0.019709871641055796,2.641658306121826
28,76,0.009070620956943611,0.5217580795288086
29,76,0.015833595590580788,0.3142554759979248
30,76,0.012321529015713518,0.5346815586090088
31,76,0.014981974598656233,0.36638522148132324
32,77,0.016967120072669543,0.5841689109802246
33,77,0.011800376725731846,1.0380825996398926
34,77,0.016065544073248762,0.494922399520874
35,77,0.01377496755665759,1.018522024154663
36,77,0.015611905937792402,0.5691015720367432
37,77,0.017356090676103386,0.19429707527160645
38,77,0.01582014945334008,0.330580472946167
39,77,0.010382031063002752,0.6220009326934814
40,77,0.015258907550113984,4.504897594451904
41,77,0.010609522586873551,0.8250703811645508
42,78,0.009250853288299265,0.11167025566101074
43,78,0.018684662734791118,0.7215900421142578
44,78,0.018398573775080633,1.7536044120788574
45,78,0.01824709235679208,1.5632388591766357
46,78,0.013608042541936156,0.7440688610076904
47,78,0.011131074953239561,0.7374322414398193
48,78,0.01715287887119952,0.3410019874572754
49,78,0.019035095097352118,0.19559764862060547
50,78,0.014734733709737793,0.41619062423706055
51,78,0.01021634219246313,0.5476229190826416
52,78,0.0177575837844908,0.4132843017578125
53,78,0.010256150393909263,0.3987884521484375
54,80,0.01609666845637218,0.35944056510925293
55,83,0.014516254349727403,2.111492156982422
56,83,0.016184996491796364,1.5765867233276367
57,84,0.010433808895605638,0.9422149658203125
58,85,0.00697289960081,0.7853295803070068
59,85,0.011009006647096711,0.40694284439086914
60,85,0.014437446861091422,0.4927041530609131
61,85,0.01948317347154025,1.0429391860961914
62,85,0.017297856940549014,0.4940328598022461
63,85,0.023196129695910214,69.88551878929138
64,85,0.016785026886385723,1.5198614597320557
65,85,0.014692617407567363,0.5899584293365479
66,85,0.014543054852202466,1.246145486831665
67,85,0.014840611053429442,1.0178141593933105
68,85,0.019581985040487377,3.654581308364868
69,86,0.011572624187865387,1.052997350692749
70,86,0.017412417133791044,1.025292158126831
71,87,0.01965980247936709,1.5657408237457275
72,88,0.019293522831930896,0.7218630313873291
73,88,0.019738275601703256,0.7195580005645752
